,entryClose,finalClose,maxClose,minClose,rangeHigh,rangeLow,signalCount,type
2012-07-03 09:35:00,592.52599999999995,592.52599999999995,592.52599999999995,589.16999999999996,591.88999999999999,583.60000000000002,4.0,1.0
2012-07-05 09:30:00,599.33000000000004,599.5,599.82000000000016,597.11000000000001,597.36000000000001,592.52599999999995,3.0,1.0
2012-07-06 09:35:00,612.17999999999995,609.77999999999997,614.07989999999995,609.77999999999997,606.79999999999995,599.33000000000004,6.0,1.0
2012-07-10 09:35:00,613.88999999999999,613.88999999999999,613.88999999999999,609.98000000000002,611.47000000000003,604.11000000000001,7.0,1.0
2012-07-11 09:35:00,0.0,608.14999999999998,615.32000000000016,606.50999999999999,619.87,613.88999999999999,10.0,-1.0
2012-07-12 09:35:00,0.0,604.30999999999995,605.21000000000004,598.01999999999998,607.65999999999997,602.5,26.0,-1.0
2012-07-13 09:35:00,0.0,598.89999999999998,602.86350000000004,593.32000000000016,604.42999999999995,596.5,6.0,-1.0
2012-07-16 09:35:00,604.97000000000003,604.97000000000003,606.7799,604.78999999999996,604.5,598.84720000000004,24.0,1.0
2012-07-17 09:35:00,610.87,606.95000000000016,610.50999999999999,606.60000000000002,609.73000000000002,604.79999999999995,10.0,1.0
2012-07-19 09:35:00,0.0,606.17449999999997,606.17449999999997,604.57000000000016,608.34000000000003,604.77999999999997,25.0,-1.0
2012-07-20 09:35:00,614.97000000000003,614.36000000000001,614.97000000000003,612.28999999999996,612.47000000000003,606.15999999999997,24.0,1.0
2012-07-23 09:35:00,0.0,603.70000000000016,611.46000000000004,603.70000000000016,614.49000000000001,611.61000000000001,4.0,-1.0
2012-07-25 09:35:00,0.0,601.28999999999996,603.51999999999998,598.82000000000016,609.67999999999995,603.64999999999998,22.0,-1.0
2012-07-26 09:35:00,0.0,574.97000000000003,579.32000000000016,572.00999999999999,601.28999999999996,570.50999999999999,13.0,-1.0
2012-07-27 09:40:00,0.0,574.65999999999997,575.53980000000001,571.00999999999999,580.39999999999998,574.50999999999999,14.0,-1.0
2012-07-30 09:35:00,584.99000000000001,585.27999999999997,585.28999999999996,576.50999999999999,575.29999999999995,571.59000000000003,8.0,1.0
