,close,high,low,open
2012-05-01 09:30:00,584.75,584.75,584.75,584.75
2012-05-01 09:35:00,587.40999999999997,587.70000000000005,581.23000000000002,584.75
2012-05-01 09:40:00,588.42999999999995,589.50999999999999,586.75,587.44000000000005
2012-05-01 09:45:00,589.75999999999999,591.97000000000003,588.25,588.42999999999995
2012-05-01 09:50:00,591.0,592.44000000000005,589.46040000000005,589.84400000000005
2012-05-01 09:55:00,589.91999999999996,591.5,589.58000000000004,591.00220000000002
2012-05-01 10:00:00,590.45000000000005,591.45000000000005,589.75999999999999,589.90999999999997
2012-05-01 10:05:00,592.95000000000005,592.95000000000005,590.178,590.45000000000005
2012-05-01 10:10:00,593.40999999999997,594.34000000000003,591.51379999999995,592.86000000000001
2012-05-01 10:15:00,593.798,593.98000000000002,592.0,593.39999999999998
2012-05-01 10:20:00,594.14999999999998,594.55989999999997,592.91999999999996,593.798
2012-05-01 10:25:00,595.86000000000001,596.75999999999999,594.10000000000002,594.20039999999995
2012-05-01 10:30:00,595.5,596.66999999999996,594.96770000000004,595.80999999999995
2012-05-01 10:35:00,595.53999999999996,596.65999999999997,595.12,595.52999999999997
2012-05-01 10:40:00,594.49000000000001,595.96659999999997,594.00999999999999,595.53139999999996
2012-05-01 10:45:00,594.10000000000002,594.56399999999996,593.65999999999997,594.52999999999997
2012-05-01 10:50:00,595.37,595.43200000000002,593.71000000000004,594.11000000000001
2012-05-01 10:55:00,595.30999999999995,596.0,594.64699999999993,595.39999999999998
2012-05-01 11:00:00,594.44000000000005,595.74000000000001,594.20000000000005,595.20000000000005
2012-05-01 11:05:00,594.95000000000005,595.35000000000002,594.29999999999995,594.44000000000005
2012-05-01 11:10:00,594.35000000000002,595.13999999999999,594.28999999999996,594.95000000000005
2012-05-01 11:20:00,595.39999999999998,595.39999999999998,594.35000000000002,594.35000000000002
2012-05-01 11:25:00,595.44000000000005,595.77999999999997,594.91020000000003,595.39999999999998
2012-05-01 11:30:00,595.00999999999999,595.92999999999995,595.00999999999999,595.42999999999995
2012-05-01 11:40:00,594.15139999999997,595.64999999999998,594.0,595.09000000000003
2012-05-01 11:45:00,594.34000000000003,594.65999999999997,593.65999999999997,594.21000000000004
2012-05-01 11:50:00,594.99000000000001,595.54999999999995,594.29999999999995,594.39999999999998
2012-05-01 12:05:00,593.72000000000003,595.13999999999999,593.70000000000005,594.86000000000001
2012-05-01 12:10:00,592.69500000000005,593.78999999999996,592.17999999999995,593.72000000000003
2012-05-01 12:15:00,591.28999999999996,593.11850000000004,591.28999999999996,592.73000000000002
2012-05-01 12:20:00,591.89999999999998,592.36000000000001,590.52999999999997,591.25999999999999
2012-05-01 12:25:00,591.93550000000005,592.39999999999998,591.50999999999999,591.88999999999999
2012-05-01 12:30:00,590.625,592.0,590.5,591.92999999999995
2012-05-01 12:35:00,589.88999999999999,591.20000000000005,589.35000000000002,590.58000000000004
2012-05-01 12:45:00,591.61080000000004,591.75,589.78999999999996,589.90999999999997
2012-05-01 13:05:00,592.21000000000004,593.47000000000003,591.63400000000001,591.63999999999999
2012-05-01 13:15:00,592.97000000000003,593.0,592.08000000000004,592.21000000000004
2012-05-01 13:20:00,591.39999999999998,593.01779999999997,591.26009999999997,592.92999999999995
2012-05-01 13:25:00,590.03999999999996,591.39999999999998,590.0,591.39999999999998
2012-05-01 13:40:00,589.10050000000001,591.13,588.39999999999998,590.12509999999997
2012-05-01 13:45:00,588.0,589.32000000000005,587.63,589.00220000000002
2012-05-01 13:50:00,586.08000000000004,588.3963,586.0,588.0
2012-05-01 13:55:00,587.59000000000003,587.79999999999995,586.0,586.04999999999995
