,entryClose,finalClose,maxClose,minClose,rangeHigh,rangeLow,signalCount,type
2012-06-04 09:35:00,0.0,561.04999999999995,567.64999999999998,560.76999999999998,571.39999999999998,568.0,19.0,-1.0
2012-06-05 09:35:00,0.0,564.27999999999997,564.27999999999997,550.21000000000004,565.79999999999995,553.76999999999998,25.0,-1.0
2012-06-06 09:35:00,0.0,562.67999999999995,564.44000000000017,559.63999999999999,566.37,560.60000000000002,20.0,-1.0
2012-06-07 09:35:00,571.73000000000002,571.73000000000002,573.14499999999998,569.74000000000001,569.75,562.67999999999995,7.0,1.0
2012-06-11 09:35:00,580.37,580.28999999999996,580.37,571.93700000000001,573.24000000000001,569.0,5.0,1.0
2012-06-12 09:35:00,0.0,571.54999999999995,577.48000000000002,571.54999999999995,587.97000000000003,580.28999999999996,43.0,-1.0
2012-06-13 09:35:00,0.0,576.13999999999999,576.13999999999999,568.17999999999995,574.86990000000003,570.25,3.0,-1.0
2012-06-14 09:35:00,0.0,572.14999999999998,572.46000000000004,570.63,578.32000000000016,573.25999999999999,39.0,-1.0
2012-06-15 09:35:00,0.0,571.78599999999994,572.08000000000004,568.25699999999995,573.0,568.52999999999997,27.0,-1.0
2012-06-18 09:35:00,574.25,574.13,574.25,574.08000000000004,572.37,569.54999999999995,36.0,1.0
2012-06-19 09:35:00,586.86500000000001,585.80999999999995,587.50999999999999,580.82000000000016,579.38779999999997,570.37,3.0,1.0
2012-06-21 09:35:00,0.0,585.75,587.80999999999995,581.00999999999999,589.25,586.04999999999995,6.0,-1.0
2012-06-22 09:35:00,0.0,577.60000000000002,582.97500000000002,577.60000000000002,587.78999999999996,584.20000000000016,25.0,-1.0
2012-06-25 09:35:00,0.0,582.0,582.0,575.92999999999995,580.25,577.0,8.0,-1.0
2012-06-26 09:35:00,0.0,570.76499999999999,574.04999999999995,570.64890000000003,582.10000000000002,576.0,8.0,-1.0
2012-06-29 09:35:00,0.0,568.75999999999999,569.85000000000002,565.98000000000002,574.5,570.60000000000002,7.0,-1.0
