,entryClose,finalClose,maxClose,minClose,rangeHigh,rangeLow,signalCount,type
2012-03-02 09:35:00,0.0,544.24000000000001,544.53999999999996,540.63999999999999,548.21000000000004,541.29999999999995,16.0,-1.0
2012-03-05 09:40:00,546.25999999999999,545.04999999999995,545.60000000000002,544.20270000000005,545.21000000000004,542.51999999999998,16.0,1.0
2012-03-06 09:35:00,0.0,533.36000000000001,542.39999999999998,530.21000000000004,547.48000000000002,544.63,9.0,-1.0
2012-03-08 09:35:00,0.0,530.63,532.13999999999999,524.21000000000004,537.77999999999997,530.25999999999999,41.0,-1.0
2012-03-09 09:35:00,542.93899999999996,541.75,542.93899999999996,536.5,535.88900000000001,530.60599999999999,19.0,1.0
2012-03-14 09:35:00,568.10000000000002,568.10000000000002,568.10000000000002,558.85800000000006,558.36000000000001,551.96000000000004,9.0,1.0
2012-03-15 09:35:00,589.88,589.53099999999995,593.91999999999996,579.20000000000016,583.85000000000002,568.10000000000002,35.0,1.0
2012-03-16 09:35:00,0.0,585.40999999999997,593.55999999999995,580.64999999999998,600.00999999999999,589.58000000000004,3.0,-1.0
2012-03-19 09:35:00,586.38,585.57000000000016,588.62199999999996,584.0,585.62,578.0,9.0,1.0
2012-03-20 09:35:00,601.0,601.0,601.0,596.73599999999999,599.0,585.57000000000016,32.0,1.0
2012-03-21 09:35:00,605.96000000000004,605.96000000000004,606.82000000000016,604.60500000000002,601.10000000000002,570.0,51.0,1.0
2012-03-22 09:35:00,609.39779999999996,602.5,609.58000000000004,602.5,606.85000000000002,601.40999999999997,27.0,1.0
2012-03-26 09:35:00,0.0,595.80999999999995,598.29999999999995,595.52999999999997,601.79999999999995,597.38,17.0,-1.0
2012-03-27 09:35:00,606.88999999999999,606.88999999999999,606.88999999999999,602.98000000000002,599.99000000000001,595.80999999999995,31.0,1.0
2012-03-28 09:35:00,614.48000000000002,614.48000000000002,616.25,612.59000000000003,613.39999999999998,606.05999999999995,9.0,1.0
2012-03-29 09:35:00,0.0,617.62,617.95000000000016,614.25,621.45000000000016,614.48000000000002,40.0,-1.0
2012-03-30 09:35:00,0.0,609.75,612.15999999999997,608.90999999999997,617.62,611.25,39.0,-1.0
